62,Puerto Rican BSN,https://basketball.realgm.com/international/league/62/Puerto-Rican-BSN
31,Romanian Divizia A,https://basketball.realgm.com/international/league/31/Romanian-Divizia-A
13,Serbian KLS,https://basketball.realgm.com/international/league/13/Serbian-KLS
29,Slovakian Extraliga,https://basketball.realgm.com/international/league/29/Slovakian-Extraliga
17,Slovenian SKL,https://basketball.realgm.com/international/league/17/Slovenian-SKL
63,South Korean KBL,https://basketball.realgm.com/international/league/63/South-Korean-KBL
4,Spanish ACB,https://basketball.realgm.com/international/league/4/Spanish-ACB
42,Spanish Cup,https://basketball.realgm.com/international/league/42/Spanish-Cup
55,Spanish LEB Gold,https://basketball.realgm.com/international/league/55/Spanish-LEB-Gold
78,Spanish LEB Silver,https://basketball.realgm.com/international/league/78/Spanish-LEB-Silver
32,Swedish Basketligan,https://basketball.realgm.com/international/league/32/Swedish-Basketligan
70,Swiss LNA,https://basketball.realgm.com/international/league/70/Swiss-LNA
7,Turkish BSL,https://basketball.realgm.com/international/league/7/Turkish-BSL
56,Turkish TBL,https://basketball.realgm.com/international/league/56/Turkish-TBL
57,Ukrainian Superleague,https://basketball.realgm.com/international/league/57/Ukrainian-Superleague
82,Venezuelan LPB,https://basketball.realgm.com/international/league/82/Venezuelan-LPB
35,VTB United League,https://basketball.realgm.com/international/league/35/VTB-United-League
