302,2014-04-25,1872,530,Signing
303,2014-04-25,60974,946,Exit
304,2014-04-25,6388,31,161,Transfer
305,2014-04-25,94,331,Signing
306,2014-04-25,6424,569,161,Transfer
307,2014-04-25,9392,1128,Signing
308,2014-04-25,4066,1128,Signing
309,2014-04-25,1692,161,Signing
310,2014-04-25,13361,161,Exit
311,2014-04-25,10024,666,807,Transfer
312,2014-04-23,6969,791,793,Transfer
313,2014-04-22,4708,1075,Signing
314,2014-04-22,41551,1008,Signing
315,2014-04-22,71837,695,Signing
316,2014-04-21,2441,374,Signing
317,2014-04-20,4141,1128,Signing
318,2014-04-20,4343,1353,Exit
319,2014-04-20,9647,530,Signing
320,2014-04-20,23,530,Signing
321,2014-04-20,4806,411,Signing
322,2014-04-20,5790,1130,1128,Transfer
323,2014-04-18,29474,1041,Exit
324,2014-04-18,20695,927,1483,Transfer
325,2014-04-15,1728,33,Signing
326,2014-04-15,890,1480,Signing
327,2014-04-15,6314,1480,Signing
328,2014-04-14,9551,735,1354,Transfer
329,2014-04-14,71107,1460,Exit
330,2014-04-14,18675,97,Signing
331,2014-04-12,29,695,Signing
332,2014-04-12,524,689,Exit
333,2014-04-12,3720,1072,Signing
334,2014-04-12,134,1439,Exit
335,2014-04-11,39693,113,121,Transfer
336,2014-04-11,923,1111,Signing
337,2014-04-11,7489,310,934,Transfer
338,2014-04-10,28285,10,Exit
339,2014-04-10,57740,1432,529,Transfer
340,2014-04-10,1654,529,Signing
341,2014-04-10,6999,1008,Signing
342,2014-04-10,56597,1008,Signing
343,2014-04-10,30152,807,Exit
344,2014-04-10,10919,1130,1074,Transfer
345,2014-04-10,123,1130,Exit
346,2014-04-08,18146,89,Signing
347,2014-04-07,16404,45,1388,Transfer
348,2014-04-07,4827,1061,569,Transfer
349,2014-04-07,8437,25,161,Transfer
350,2014-04-04,2718,1124,877,Transfer
351,2014-04-04,23330,380,Signing
352,2014-04-04,20118,1072,Signing
353,2014-04-04,27040,855,484,Transfer
354,2014-04-04,33826,855,484,Transfer
355,2014-04-04,9390,744,58,Transfer
356,2014-04-03,4083,672,Exit
357,2014-04-03,4771,58,Exit
358,2014-04-03,69983,745,Signing
359,2014-04-02,10766,555,Exit
360,2014-04-02,25851,249,276,Transfer
361,2014-04-02,17175,100,Exit
362,2014-04-02,33088,100,208,Transfer
363,2014-04-02,29730,34,707,Transfer
364,2014-04-02,12987,89,Exit
365,2014-04-02,38007,450,332,Transfer
366,2014-04-02,24390,1075,Exit
367,2014-04-01,1931,461,Exit
368,2014-04-01,13116,1261,29,Transfer
369,2014-04-01,2550,289,Exit
370,2014-04-01,790,14,432,Transfer
371,2014-04-01,38114,332,174,Transfer
372,2014-04-01,14703,1349,595,Transfer
373,2014-04-01,27733,703,898,Transfer
374,2014-04-01,45226,879,877,Transfer
375,2014-03-31,49530,1272,Exit
376,2014-03-31,2184,55,Exit
377,2014-03-31,7020,1325,89,Transfer
378,2014-03-29,40100,1130,331,Transfer
379,2014-03-28,10400,674,Signing
380,2014-03-28,38577,879,899,Transfer
381,2014-03-28,2306,744,Signing
382,2014-03-28,26155,1430,11,Transfer
383,2014-03-28,9568,1021,170,Transfer
384,2014-03-28,1934,810,674,Transfer
385,2014-03-28,685,1074,Exit
386,2014-03-27,4077,981,Signing
387,2014-03-27,87,539,374,Transfer
388,2014-03-27,7876,67,218,Transfer
389,2014-03-27,1627,81,Signing
390,2014-03-26,875,81,Exit
391,2014-03-26,3155,162,Signing
392,2014-03-26,21471,1430,Signing
393,2014-03-26,26212,1430,Signing
394,2014-03-26,1997,342,83,Transfer
