20600,155,20600
20601,67,20601
20602,1075,20602
20603,549,20603
20604,839,20604
20605,62,20605
20606,1585,20606
20607,1415,20607
20608,1371,20608
20609,1378,20609
20610,214,20610
20611,188,20611
20612,687,20612
20613,1025,20613
20614,476,20614
20615,678,20615
20616,1706,20616
20617,1706,20617
20618,794,20618
20619,1858,20619
20620,747,20620
20621,825,20621
20622,687,20622
20623,798,20623
20624,684,20624
20625,1022,20625
20626,1024,20626
20627,683,20627
20628,893,20628
20629,407,20629
20630,331,20630
20631,1415,20631
20632,827,20632
20633,109,20633
20634,1585,20634
20635,1975,20635
20636,1072,20636
20637,5,20637
20638,214,20638
20639,1531,20639
20640,1664,20640
20641,1178,20641
20642,1219,20642
20643,214,20643
20644,1261,20644
20645,684,20645
20646,686,20646
20647,708,20647
20648,1451,20648
20649,162,20649
20650,797,20650
20651,685,20651
20652,1477,20652
20653,555,20653
20654,1073,20654
20655,649,20655
20656,89,20656
20657,169,20657
20658,62,20658
20659,529,20659
20660,67,20660
20661,683,20661
20662,1376,20662
20663,1074,20663
20664,530,20664
20665,412,20665
20666,410,20666
20667,409,20667
20668,23,20668
20669,411,20669
20670,411,20670
20671,411,20671
20672,102,20672
20673,162,20673
20674,529,20674
20675,530,20675
20676,71,20676
20677,169,20677
20678,727,20678
20679,674,20679
20680,46,20680
20681,1128,20681
20682,937,20682
20683,674,20683
20684,1178,20684
20685,1178,20685
20686,1178,20686
20687,1620,20687
20688,301,20688
20689,148,20689
20690,56,20690
20691,806,20691
20692,557,20692
20693,799,20693
20694,1966,20694
20695,1630,20695
20696,989,20696
20697,5,20697
20698,985,20698
20699,961,20699
20700,1069,20700
20701,159,20701
20702,555,20702
20703,430,20703
20704,3,20704
20705,4,20705
20706,923,20706
20707,934,20707
20708,1324,20708
20709,355,20709
20710,3,20710
20711,1392,20711
20712,686,20712
20713,933,20713
20714,933,20714
20715,1324,20715
20716,498,20716
20717,212,20717
20718,15,20718
20719,933,20719
20720,1713,20720
20721,555,20721
20722,566,20722
20723,1039,20723
20724,307,20724
20725,987,20725
20726,355,20726
20727,1410,20727
20728,159,20728
20729,161,20729
20730,159,20730
20731,1418,20731
20732,987,20732
20733,1451,20733
20734,1814,20734
20735,1130,20735
20736,184,20736
20737,129,20737
20738,307,20738
20739,665,20739
20740,129,20740
20741,1477,20741
20742,307,20742
20743,170,20743
20744,180,20744
20745,1814,20745
20746,180,20746
20747,707,20747
20748,27,20748
20749,245,20749
20750,1477,20750
20751,1966,20751
20752,46,20752
20753,332,20753
20754,332,20754
20755,1461,20755
20756,1178,20756
20757,331,20757
20758,1894,20758
20759,548,20759
20760,1713,20760
20761,100,20761
20762,50,20762
20763,34,20763
20764,1714,20764
20765,1693,20765
20766,58,20766
20767,950,20767
20768,702,20768
20769,1714,20769
20770,665,20770
20771,129,20771
20772,539,20772
20773,539,20773
20774,1684,20774
20775,1810,20775
20776,185,20776
20777,1477,20777
20778,1477,20778
20779,1765,20779
20780,217,20780
20781,1071,20781
20782,898,20782
20783,897,20783
20784,682,20784
20785,1898,20785
20786,557,20786
20787,128,20787
20788,1771,20788
20789,1130,20789
20790,523,20790
20791,1071,20791
20792,1068,20792
20793,809,20793
20794,987,20794
20795,161,20795
20796,934,20796
20797,1898,20797
20798,382,20798
20799,930,20799
20800,928,20800
20801,1684,20801
20802,374,20802
20803,374,20803
20804,1390,20804
20805,398,20805
20806,398,20806
20807,1247,20807
20808,795,20808
20809,680,20809
20810,1749,20810
20811,687,20811
20812,382,20812
20813,843,20813
20814,189,20814
20815,97,20815
20816,276,20816
20817,204,20817
20818,602,20818
20819,196,20819
20820,547,20820
20821,1630,20821
20822,1662,20822
20823,673,20823
20824,185,20824
20825,654,20825
20826,89,20826
20827,81,20827
20828,1966,20828
20829,1392,20829
20830,953,20830
20831,36,20831
20832,1062,20832
20833,212,20833
20834,963,20834
20835,1526,20835
20836,1526,20836
20837,1451,20837
20838,168,20838
20839,1684,20839
20840,1071,20840
20841,1814,20841
20842,161,20842
20843,398,20843
20844,40,20844
20845,245,20845
20846,381,20846
20847,955,20847
20848,874,20848
20849,1738,20849
20850,539,20850
20851,264,20851
20852,1071,20852
20853,934,20853
20854,1533,20854
20855,981,20855
20856,1071,20856
20857,932,20857
20858,708,20858
20859,1371,20859
20860,136,20860
20861,1410,20861
20862,118,20862
20863,737,20863
20864,1128,20864
20865,161,20865
20866,1451,20866
20867,539,20867
20868,539,20868
20869,129,20869
20870,1729,20870
20871,955,20871
20872,143,20872
20873,397,20873
20874,244,20874
20875,382,20875
20876,1244,20876
20877,452,20877
20878,496,20878
20879,1908,20879
20880,877,20880
20881,1384,20881
20882,258,20882
20883,1618,20883
20884,1877,20884
20885,16,20885
20886,854,20886
20887,1223,20887
20888,1442,20888
20889,1379,20889
20890,1871,20890
20891,1597,20891
20892,859,20892
20893,1428,20893
20894,751,20894
20895,81,20895
20896,982,20896
20897,1429,20897
20898,844,20898
20899,1898,20899
20900,1867,20900
20901,101,20901
20902,1867,20902
20903,682,20903
20904,876,20904
20905,1417,20905
20906,1674,20906
20907,717,20907
20908,844,20908
20909,801,20909
20910,842,20910
20911,1871,20911
20912,865,20912
20913,1682,20913
20914,729,20914
20915,169,20915
20916,1694,20916
20917,1864,20917
20918,787,20918
20919,184,20919
20920,1041,20920
20921,1417,20921
20922,128,20922
20923,796,20923
20924,249,20924
20925,1713,20925
20926,204,20926
20927,707,20927
20928,439,20928
20929,12,20929
20930,1810,20930
20931,1810,20931
20932,926,20932
20933,1033,20933
20934,1422,20934
20935,976,20935
20936,404,20936
20937,258,20937
20938,5,20938
20939,547,20939
20940,1041,20940
20941,182,20941
20942,500,20942
20943,1025,20943
20944,796,20944
20945,62,20945
20946,276,20946
20947,312,20947
20948,794,20948
20949,148,20949
20950,1004,20950
20951,1966,20951
20952,687,20952
20953,500,20953
20954,397,20954
20955,55,20955
20956,401,20956
20957,654,20957
20958,893,20958
20959,807,20959
20960,523,20960
20961,1225,20961
20962,46,20962
20963,208,20963
20964,1225,20964
20965,1035,20965
20966,608,20966
20967,1731,20967
20968,397,20968
20969,1892,20969
20970,1440,20970
20971,342,20971
20972,120,20972
20973,41,20973
20974,1244,20974
20975,1693,20975
20976,1683,20976
